generation,policy,min,max,mean,std
20,FIFO,762.1272000000005,2996.6892,1722.725666666667,592.3426906422068
20,LTP,1312.5752,4040.8032000000007,2757.529866666667,676.7931518572638
20,STP,1836.365200000001,3816.7352000000005,2761.200200000001,554.523557269301
20,RRFIFO,1170.7392000000002,4197.939200000002,2860.8016000000002,664.6880781855302
20,RRLTP,1690.139200000001,4223.591200000001,2859.2006666666666,596.2814042455532
20,RRECA,1347.0732000000003,3537.9332000000013,2624.8436,581.9098463866262
40,FIFO,762.1272000000005,2984.1772,1728.8110666666676,588.5858474966211
40,LTP,1564.5792000000001,4040.8032000000007,2817.5632666666675,632.0164172600761
40,STP,1803.5012000000013,3790.6112000000007,2853.4220000000005,571.6466459354295
40,RRFIFO,1170.7392000000002,4212.2312,2912.169733333334,707.4383277710143
40,RRLTP,1690.139200000001,4439.807200000001,2917.9780000000005,651.0678321290545
40,RRECA,1347.0732000000003,3698.9672000000005,2691.6299999999997,624.7462120243923
60,FIFO,762.1272000000005,2984.1772,1871.0448000000004,617.7949034872119
60,LTP,1564.5792000000001,4204.857200000001,2902.1372000000006,649.4365084374817
60,STP,1803.5012000000013,3807.5972000000006,2861.489600000001,554.3628025614993
60,RRFIFO,1170.7392000000002,4701.1152,2917.1612666666674,734.9465351009753
60,RRLTP,1690.139200000001,4437.607200000001,2914.417466666667,658.8264079780516
60,RRECA,1347.0732000000003,3898.3932,2677.2706666666663,622.5127579612451
80,FIFO,762.1272000000005,2903.1992000000005,1852.2479333333335,592.8607897484836
80,LTP,1564.5792000000001,4314.497200000001,2889.488933333334,657.7174241454021
80,STP,1803.5012000000013,3790.6112000000007,2919.1494000000007,563.4867618669432
80,RRFIFO,1170.7392000000002,4197.939200000002,2896.7773333333334,679.4693318114137
80,RRLTP,1690.139200000001,4437.607200000001,2952.1974,671.5444537453149
80,RRECA,1557.595199999999,3918.1932,2812.0812,552.0149651708128
100,FIFO,762.1272000000005,2903.1992000000005,1849.4315333333336,600.4058244432308
100,LTP,1564.5792000000001,4418.939200000001,2946.9865333333346,644.6535523141785
100,STP,1803.5012000000013,4047.9212,2957.099933333334,581.0763886896988
100,RRFIFO,2053.5572,4197.939200000002,2968.9860000000003,598.4309411966375
100,RRLTP,1690.139200000001,4437.607200000001,3091.2249333333334,657.9505837344186
100,RRECA,1557.595199999999,3898.3932,2841.9698666666663,564.9060392075444
