policy,generation,mean,std,min,max
FIFO,20,1722.725666666667,592.3426906422068,762.1272000000005,2996.6892
FIFO,40,1728.8110666666676,588.5858474966211,762.1272000000005,2984.1772
FIFO,60,1871.0448000000004,617.7949034872119,762.1272000000005,2984.1772
FIFO,80,1852.2479333333335,592.8607897484836,762.1272000000005,2903.1992000000005
FIFO,100,1849.4315333333336,600.4058244432308,762.1272000000005,2903.1992000000005
LTP,20,2757.529866666667,676.7931518572638,1312.5752,4040.8032000000007
LTP,40,2817.5632666666675,632.0164172600761,1564.5792000000001,4040.8032000000007
LTP,60,2902.1372000000006,649.4365084374817,1564.5792000000001,4204.857200000001
LTP,80,2889.488933333334,657.7174241454021,1564.5792000000001,4314.497200000001
LTP,100,2946.9865333333346,644.6535523141785,1564.5792000000001,4418.939200000001
STP,20,2761.200200000001,554.523557269301,1836.365200000001,3816.7352000000005
STP,40,2853.4220000000005,571.6466459354295,1803.5012000000013,3790.6112000000007
STP,60,2861.489600000001,554.3628025614993,1803.5012000000013,3807.5972000000006
STP,80,2919.1494000000007,563.4867618669432,1803.5012000000013,3790.6112000000007
STP,100,2957.099933333334,581.0763886896988,1803.5012000000013,4047.9212
